model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
advanced__c1.0__hl12.0,2021,0.7984057329390409,0.46535542899737314,0.14942629703339086,0.6457399103139013,0.03107599176822425,0.6290823575628228,1115,advanced,1.0,12.0
compact__c0.03__hl4.0,2021,0.7999365531025201,0.46723040623377726,0.15016559473697716,0.6403587443946188,0.03201963233759151,0.6263455093819746,1115,compact,0.03,4.0
compact__c0.03__hl8.0,2021,0.7979372453161069,0.4657936452325779,0.14959433474237394,0.6430493273542601,0.026288456950101607,0.6296529458170301,1115,compact,0.03,8.0
compact__c0.03__hl12.0,2021,0.7974097752910027,0.46540988238035863,0.14942673237226864,0.6457399103139013,0.022435772530764838,0.6316964744535015,1115,compact,0.03,12.0
compact__c0.1__hl4.0,2021,0.8001268588987175,0.4670536138352695,0.15008965073393019,0.6421524663677131,0.02742015946304943,0.6270256679048135,1115,compact,0.1,4.0
compact__c0.1__hl8.0,2021,0.7978781107237333,0.4655137774588891,0.1494907590241518,0.6439461883408072,0.02418246156461093,0.6305459063220729,1115,compact,0.1,8.0
compact__c0.1__hl12.0,2021,0.7973969700466268,0.46517304194860315,0.14934230241238977,0.6466367713004484,0.024485437508639747,0.6324842243923907,1115,compact,0.1,12.0
compact__c0.3__hl4.0,2021,0.8000834710846882,0.4668450367840732,0.14998315632651996,0.6385650224215247,0.030992834199699493,0.6279064452020686,1115,compact,0.3,4.0
compact__c0.3__hl8.0,2021,0.7975821051806469,0.46520223949661715,0.1493607968097018,0.6439461883408072,0.025045886913250888,0.6313376997581186,1115,compact,0.3,8.0
compact__c0.3__hl12.0,2021,0.7970501564845188,0.46478933170674547,0.14917682123377127,0.6475336322869956,0.0224757240145999,0.6333257453507887,1115,compact,0.3,12.0
compact__c1.0__hl4.0,2021,0.7997217671854479,0.4665265595589617,0.1498714159170029,0.6412556053811659,0.031147611943936733,0.6284072476350089,1115,compact,1.0,4.0
compact__c1.0__hl8.0,2021,0.7974040492127082,0.4649890092198193,0.14927597309816396,0.6475336322869956,0.025702568559541103,0.6319817452421213,1115,compact,1.0,8.0
compact__c1.0__hl12.0,2021,0.7967301329064714,0.46453588507405963,0.14909396582218526,0.6484304932735426,0.026306752485182733,0.6339892597247794,1115,compact,1.0,12.0
class_prior,2022,1.0391596184952725,0.6250986701080103,0.22482261635339137,0.4979381443298969,0.012273379398864803,0.4856647649310321,970,baseline,,
