model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,draw_C,decisive_C,half_life_years
structured__draw0.1__decisive0.3__hlnone,2024,0.9005834334040415,0.531419754401532,0.17456054314892575,0.5939788445890968,0.041658930895405316,0.6188605903812806,1229,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2024,0.8985867181852755,0.5300693310331521,0.17428208108812637,0.5907241659886087,0.03336401067273871,0.615950111363506,1229,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2024,0.8985540296346344,0.5300874682121052,0.1742001514233534,0.5915378356387306,0.03811031609267625,0.6169376931135779,1229,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2024,0.8989344477191812,0.5303334552394052,0.1742285824318898,0.5931651749389748,0.041872991535564584,0.6179768253226132,1229,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2024,0.8994392290109883,0.5307265821766157,0.17421395703646758,0.5947925142392189,0.03745211647762188,0.6200258171458852,1229,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2024,0.8991810467555935,0.5305206947690153,0.17453011202503332,0.5923515052888527,0.03953814806186901,0.6151294059899377,1229,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2024,0.8992963800575633,0.5306058241914958,0.17446358610510038,0.5907241659886087,0.03679267338705076,0.6161799857324285,1229,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2024,0.8994842059494123,0.5308043711537492,0.1744631735720229,0.5931651749389748,0.04381534698216421,0.6170606526940496,1229,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2024,0.9004855936109954,0.5313749355225357,0.17455588419852142,0.5931651749389748,0.040125919877767854,0.6188972217445925,1229,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2024,0.8984325643215928,0.5300526876753141,0.17429610847818272,0.5907241659886087,0.03603859397748121,0.616060868238135,1229,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2024,0.8985127911746934,0.5300943548007547,0.17420785140972994,0.5915378356387306,0.03809170405120028,0.6170042863835987,1229,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2024,0.8989092280756414,0.5303892115739084,0.17425559378210248,0.5931651749389748,0.03963446555312064,0.6179882133335508,1229,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2024,0.8993413892179425,0.5306844166903455,0.1742106247824263,0.5939788445890968,0.036738841446239484,0.6200624574772478,1229,0.3,1.0,
