model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
elo_logistic,2022,0.9330271862322863,0.5487343271016709,0.18798715196498286,0.5773195876288659,0.02181828682456415,0.5835875162539206,970,baseline,,
compact_v2__c0.1__hl8.0,2022,0.9203333706926292,0.5417617320201173,0.18408824351451974,0.5835051546391753,0.022556688143575695,0.5764778993170783,970,compact_v2,0.1,8.0
compact_v2__c0.1__hl12.0,2022,0.9189843499697589,0.5410643579984615,0.18389491438031627,0.5855670103092784,0.024053550151917926,0.5761909956453658,970,compact_v2,0.1,12.0
compact_v2__c0.1__hl20.0,2022,0.918381788758866,0.5408286244736548,0.1838464031370668,0.5835051546391753,0.01717787831531633,0.5760146497057719,970,compact_v2,0.1,20.0
compact_v2__c0.1__hlNone,2022,0.917995708251758,0.5407434163845017,0.18388382749179283,0.5814432989690722,0.02599466448963367,0.5767212674882309,970,compact_v2,0.1,
compact_v2__c0.3__hl8.0,2022,0.919614647011153,0.5413394490918193,0.18387591816724497,0.5835051546391753,0.02308779622488401,0.5771889727370402,970,compact_v2,0.3,8.0
compact_v2__c0.3__hl12.0,2022,0.9184461651876841,0.5407975475078609,0.18373057923147035,0.5814432989690722,0.017011387143470474,0.5769053247956359,970,compact_v2,0.3,12.0
compact_v2__c0.3__hl20.0,2022,0.9178022268037971,0.540522074985362,0.18367090844305145,0.5865979381443299,0.023150285980412008,0.5766775329911192,970,compact_v2,0.3,20.0
compact_v2__c0.3__hlNone,2022,0.9176183458110292,0.5405834216653298,0.18376258870682002,0.5835051546391753,0.020848524754447557,0.5772823539735127,970,compact_v2,0.3,
compact_v2__c1.0__hl8.0,2022,0.9195038258190098,0.5413328161271819,0.18380910700751996,0.5845360824742268,0.025318351058405016,0.577877771339844,970,compact_v2,1.0,8.0
